Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6212941164886461,0.6363179983938942,0.6068276979452143,82.7,-0.1376642629504204,810.09,90.56,90.88,810.42
2,0.6665863935347426,0.6736571950613034,0.6580251000251067,74.95,-1.1597468052591597,725.21,99.55,99.8,725.46
3,0.6512723056684374,0.6747668858096137,0.632803499076248,76.05,0.005030110478401184,808.44,94.51,94.77,808.7
4,0.6594637485023631,0.6737588997206221,0.6493266001828205,74.9,-0.2192772336304188,802.59,93.92,94.17,802.84
5,0.6659926626826369,0.6761484005478157,0.655252193516351,72.8,0.02011255609492461,731.71,98.27,98.5,731.94
6,0.6655549059694266,0.6753087013602028,0.653374795903946,72.9,-0.01655691017707189,727.86,97.68,97.91,728.09
7,0.6631475824737787,0.672314399900867,0.6518565033313044,70.5,-1.1886756594691958,736.28,97.59,97.8,736.49
8,0.6373984451874743,0.6498575944117796,0.6225470905976785,80.3,-0.43161285764404705,912.41,90.37,90.67,912.71
9,0.6256223519058798,0.642440693262077,0.6135002940757519,81.2,-0.3625127409185682,913.63,83.35,83.66,913.94
10,0.6132637311687764,0.6235406962071428,0.6034328930998574,77.65,0.014480134844779969,884.08,82.89,83.17,884.36
11,0.6139975443548094,0.627849891406847,0.5993883137030849,78.2,-0.20800116583704947,838.97,80.59,80.87,839.25
12,0.614719032002246,0.6256007994991788,0.6056451050912628,76.95,-0.03638599546892302,853.33,81.42,81.69,853.6
13,0.6136070820057865,0.6239915935202133,0.6048810046091088,78.05,-0.10865874285144465,844.31,80.64,80.92,844.6
14,0.6146015812992929,0.6285599928964386,0.6042419969358453,77.0,-0.20008559612823384,848.64,81.66,81.93,848.91
15,0.6156296981780836,0.6286635037046681,0.5997050909195434,77.75,0.07294930954064642,851.61,80.44,80.72,851.89
16,0.6158353478052031,0.627120901140047,0.6010442991740953,76.7,-0.14935783012104886,819.8,78.42,78.69,820.07
17,0.6141865010024045,0.6277860024751432,0.6046910932401904,77.7,0.05682543303285326,863.11,80.95,81.23,863.39
18,0.6120965225409517,0.6232346998924985,0.5933735892973431,75.55,-0.12060789253030504,852.18,81.85,82.11,852.44
19,0.6119594983448097,0.6201953961318263,0.6033086988689669,76.5,0.15183808269600074,839.2,80.94,81.21,839.46
20,0.614963067535512,0.6300296912246716,0.600801300603176,76.15,-0.2629873491823673,819.36,79.87,80.14,819.62
