Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AdvVar,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6232692134929281,0.6335097330674633,0.6128502602458534,88.55,0.4494558647274971,1.6794,849.02,90.24,90.61,849.39
2,0.6467838271218505,0.6574536737414655,0.6345636086344805,85.95,-0.6764632485806942,1.6718,833.51,97.62,97.97,833.86
3,0.6325579966578799,0.6399674917386154,0.6214232847386912,87.55,nan,nan,890.43,93.0,93.36,890.79
4,0.6301318864658965,0.6429176535752746,0.6210496980963323,89.65,nan,nan,881.94,92.25,92.63,882.32
5,0.6305909144097097,0.6482505086924188,0.6192085628834372,87.75,-0.8300340980291366,1.8079,879.17,91.38,91.75,879.54
6,0.6567605536502973,0.6692701945411327,0.647133122718061,82.85,-0.29929483886808156,1.7547,814.86,98.82,99.14,815.18
7,0.6618247590984084,0.6751136817179055,0.6500022215257298,82.55,-0.1641113180667162,1.6557,793.84,98.16,98.48,794.17
8,0.6604432381851477,0.6693922142898568,0.6466258361914934,80.45,-0.4016972141606467,1.8293,791.86,98.81,99.11,792.16
9,0.662993708841212,0.6722838811267692,0.6542845478546653,80.1,0.20669394369636263,1.5995,772.83,99.11,99.41,773.13
10,0.6654762704164469,0.6761784165713252,0.6515550248019305,82.75,-0.059523308835923674,1.7656,785.89,98.69,99.01,786.21
11,0.663617167151028,0.6754939472522559,0.6557111521473991,81.6,0.938390851020813,1.8082,784.67,100.3,100.61,784.98
12,0.6651057059213645,0.6776426365268143,0.6556743802879976,79.95,-0.22383938399808748,1.8911,774.2,98.58,98.87,774.5
13,0.664329847199524,0.6729290615269813,0.6549280737172654,81.4,-0.009163410855191095,1.7583,773.98,98.34,98.65,774.29
14,0.6638865682313806,0.6753100794543951,0.6562936663770059,77.55,0.7266988994819777,1.6144,758.8,100.0,100.28,759.08
15,0.6615108953455685,0.6753510357371616,0.6527760398128721,79.7,-0.15767416826316288,1.8624,762.05,100.32,100.62,762.35
16,0.6649384335194628,0.6791143726835013,0.6544450020660799,78.45,-0.08447405706558908,1.8637,750.45,98.83,99.12,750.73
17,0.6671543113690148,0.6834694122682637,0.6550885317681403,80.0,-0.2385848098567554,1.7521,763.61,98.65,98.95,763.91
18,0.6661678476475179,0.6734789856264115,0.6546656504656911,79.7,-1.2340195285422462,1.7291,763.71,98.36,98.66,764.01
19,0.6591625930639532,0.6685046482112925,0.6462079591668057,78.05,-0.1083015678184373,1.8694,777.68,98.05,98.33,777.97
20,0.6655661540722106,0.6759109807509551,0.6489048849777251,78.9,-0.16729949531810626,1.8745,784.75,98.61,98.9,785.04
