Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AdvVar,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6939174790232222,0.7060764506072675,0.6824860627777182,179.22,-0.32416976884835297,1.8078,324.38,15.68,16.59,325.29
2,0.7115870236246734,0.7259424240518191,0.703476178426016,152.46,-0.07517178885398372,1.7751,246.99,15.03,15.93,247.88
3,0.713649250223887,0.7223304241468635,0.699375820763471,149.22,-0.35145407915115356,1.8531,234.1,15.24,16.14,234.99
4,0.7188560175908159,0.7323408091718229,0.7023354387933676,144.42,0.13106823731213807,1.7788,216.43,14.55,15.44,217.32
5,0.7192465926724365,0.7311300550527767,0.7109120914223219,141.08,0.5484829880297184,1.6955,214.08,14.67,15.56,214.97
6,0.721766917580313,0.7347862944279192,0.7116179189315357,140.9,0.26927246904835617,1.8406,207.75,14.67,15.56,208.63
7,0.721937417711175,0.7321694381491455,0.7109636968918803,139.94,-0.20681581646203995,1.8314,204.99,14.53,15.42,205.88
8,0.7223670592557602,0.7312940591534044,0.7090176350929046,137.8,-0.35052697719247256,1.8228,202.72,14.71,15.6,203.6
9,0.7270313993757865,0.7383024481936479,0.714900026334992,133.5,0.07990229240170231,1.8644,197.14,14.28,15.16,198.02
10,0.7267739897595403,0.7359085683280232,0.7117026964898392,134.46,-0.35650271770578845,1.8477,196.01,14.37,15.26,196.89
11,0.7265471728324957,0.7352654201628277,0.7183922385873698,134.4,0.08988790214061737,1.8118,198.87,14.02,14.9,199.75
12,0.7250857140784914,0.734091530503986,0.7141112805789595,132.18,-0.12667705353211473,1.8299,192.45,14.56,15.44,193.33
13,0.7264542184071874,0.737978112692355,0.715681406473905,134.8,-0.15822669763916306,1.8055,192.91,14.33,15.21,193.8
14,0.7256888788609439,0.7359270130155983,0.7183922321892561,135.88,-0.07819306743996483,1.7927,202.64,14.48,15.36,203.53
15,0.723361832528619,0.7304537311503034,0.714566467465739,138.5,-0.47738057667655603,1.7596,211.59,14.64,15.53,212.47
16,0.7259793511541333,0.7329415912636571,0.7181029179861861,136.94,-0.38795277822230545,1.7192,200.46,14.37,15.25,201.35
17,0.7272574095374774,0.7389898380302766,0.718556263403439,133.04,0.15175696986692924,1.8042,197.73,14.33,15.21,198.61
18,0.7272834651064954,0.7361592084627563,0.7134515541317508,133.5,0.16527236253023148,1.8175,200.12,14.14,15.02,201.0
19,0.7278139858629565,0.7350848224980011,0.7171741154320234,134.54,0.06500081386831072,1.8476,195.74,14.31,15.19,196.62
20,0.7258953539107088,0.7359951897152729,0.7155192350852706,133.7,0.30867754721215795,1.8153,198.28,14.45,15.33,199.16
